Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,00093629","-7,0372E-16","0,067491",0,0,0,"37,697","0,8227","-6,4003E-17","0,001536","0,83904","-7,5689E-15","1,5674",0,0,0,0,0,0,package://Exca-1/meshes/base_link.STL,"0,25","0,25","0,25",1,0,0,0,0,0,0,package://Exca-1/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"-0,16895","-1,1137E-15","0,081554",0,0,0,"26,764","0,30083","-3,5124E-17","0,024487","0,2943","1,729E-16","0,53918",0,0,0,0,0,0,package://Exca-1/meshes/link_1.STL,"0,85","0,65","0,15",1,0,0,0,0,0,0,package://Exca-1/meshes/link_1.STL,,link_1-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0,0,"0,11304",0,0,0,base_link,0,0,1,1000,1,"-3,141","3,141",,,,,,,,
link_2,"0,30458","0,073788","1,4816E-14",0,0,0,"6,2624","0,011494","0,0067413","-1,8835E-15","0,19523","3,5397E-17","0,20289",0,0,0,0,0,0,package://Exca-1/meshes/link_2.STL,"0,85","0,65","0,15",1,0,0,0,0,0,0,package://Exca-1/meshes/link_2.STL,,link_2-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,"0,07",0,"0,115","1,5708","-1,2217",0,link_1,0,0,1,1000,1,"-1,919",0,,,,,,,,
link_3,"0,1169","0,021719","1,0748E-14",0,0,0,"3,0384","0,0020654","0,0030753","-2,26E-16","0,040142","8,5149E-18","0,041371",0,0,0,0,0,0,package://Exca-1/meshes/link_3.STL,"0,85","0,65","0,15",1,0,0,0,0,0,0,package://Exca-1/meshes/link_3.STL,,link_3-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,"0,672",0,0,0,0,"-0,43633",link_2,0,0,1,1000,1,"-2,268",0,,,,,,,,
link_4,"-0,019219","0,091842","9,4282E-15",0,0,0,"1,1448","0,0032492","-0,00034637","-2,0773E-19","0,0016958","1,0893E-19","0,0039132",0,0,0,0,0,0,package://Exca-1/meshes/link_4.STL,"0,6","0,6","0,65",1,0,0,0,0,0,0,package://Exca-1/meshes/link_4.STL,,link_4-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,"0,37548",0,0,0,0,"-0,7854",link_3,0,0,1,1000,1,"-3,141",0,,,,,,,,
dummy_link,"-0,0025454","-2,2832E-14","-0,0041762",0,0,0,"0,0006235","9,2896E-09","3,8701E-23","-2,035E-09","1,1529E-08","2,9634E-23","4,837E-09",0,0,0,0,0,0,package://Exca-1/meshes/dummy_link.STL,"0,9",0,0,1,0,0,0,0,0,0,package://Exca-1/meshes/dummy_link.STL,,dummy_link-1,Origin_joint_tcp,,joint_tcp,fixed,"0,07","0,16",0,"-1,5708",0,0,link_4,0,0,0,,,,,,,,,,,,
